C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 481 Score 17 Record 76
Game 482 Score 31 Record 76
Game 483 Score 21 Record 76
Game 484 Score 49 Record 76
Game 485 Score 31 Record 76
Game 486 Score 16 Record 76
Game 487 Score 15 Record 76
Game 488 Score 35 Record 76
Game 489 Score 23 Record 76
Game 490 Score 19 Record 76
Game 491 Score 45 Record 76
Game 492 Score 23 Record 76
Game 493 Score 65 Record 76
Game 494 Score 32 Record 76
Game 495 Score 68 Record 76
Game 496 Score 49 Record 76
Game 497 Score 44 Record 76
Game 498 Score 46 Record 76
Game 499 Score 26 Record 76
Game 500 Score 11 Record 76
Game 501 Score 19 Record 76
Game 502 Score 21 Record 76
Game 503 Score 27 Record 76
Game 504 Score 38 Record 76
Game 505 Score 9 Record 76
Game 506 Score 35 Record 76
Game 507 Score 15 Record 76
Game 508 Score 33 Record 76
Game 509 Score 28 Record 76
Game 510 Score 27 Record 76
Game 511 Score 48 Record 76
Game 512 Score 19 Record 76
Game 513 Score 36 Record 76
Game 514 Score 50 Record 76
Game 515 Score 12 Record 76
Game 516 Score 35 Record 76
Game 517 Score 44 Record 76
Game 518 Score 38 Record 76
Game 519 Score 26 Record 76
Game 520 Score 39 Record 76
Game 521 Score 25 Record 76
Game 522 Score 25 Record 76
Game 523 Score 37 Record 76
Game 524 Score 26 Record 76
Game 525 Score 17 Record 76
Game 526 Score 56 Record 76
Game 527 Score 38 Record 76
Game 528 Score 54 Record 76
Game 529 Score 32 Record 76
Game 530 Score 32 Record 76
Game 531 Score 14 Record 76
Game 532 Score 30 Record 76
Game 533 Score 18 Record 76
Game 534 Score 23 Record 76
Game 535 Score 50 Record 76
Game 536 Score 41 Record 76
Game 537 Score 50 Record 76
Game 538 Score 19 Record 76
Game 539 Score 14 Record 76
Game 540 Score 36 Record 76
Game 541 Score 26 Record 76
Game 542 Score 28 Record 76
Game 543 Score 64 Record 76
Game 544 Score 9 Record 76
Game 545 Score 10 Record 76
Game 546 Score 43 Record 76
Game 547 Score 42 Record 76
Game 548 Score 19 Record 76
Game 549 Score 29 Record 76
Game 550 Score 31 Record 76
Game 551 Score 38 Record 76
Game 552 Score 48 Record 76
Game 553 Score 25 Record 76
Game 554 Score 71 Record 76
Game 555 Score 18 Record 76
Game 556 Score 22 Record 76
Game 557 Score 16 Record 76
Game 558 Score 19 Record 76
Game 559 Score 47 Record 76
Game 560 Score 28 Record 76
Game 561 Score 46 Record 76
Game 562 Score 39 Record 76
Game 563 Score 24 Record 76
Game 564 Score 33 Record 76
Game 565 Score 12 Record 76
Game 566 Score 19 Record 76
Game 567 Score 53 Record 76
Game 568 Score 64 Record 76
Game 569 Score 25 Record 76
Game 570 Score 40 Record 76
Game 571 Score 49 Record 76
Game 572 Score 20 Record 76
Game 573 Score 8 Record 76
Game 574 Score 30 Record 76
Game 575 Score 45 Record 76
Game 576 Score 26 Record 76
